user,trajectory,rank_dyn,Infeasible@10_dyn,MeanDist@10_dyn,Acc@1_dyn,Recall@10_dyn,NDCG@10_dyn,rank_base,Infeasible@10_base,MeanDist@10_base,Acc@1_base,Recall@10_base,NDCG@10_base,rank_gain,distance_reduction
926,926_39,5105,0.0,0.04780185803821554,0.0,0.0,0.0,87,0.7,10.412383729934364,0.0,0.0,0.0,-5018,10.364581871896148
21,21_75,5160,0.0,2.042492001549987,0.0,0.0,0.0,183,0.8,18.323584892839737,0.0,0.0,0.0,-4977,16.28109289128975
1431,1431_33,5501,0.0,0.8621744812188641,0.0,0.0,0.0,547,0.2,6.776293744951713,0.0,0.0,0.0,-4954,5.914119263732848
796,796_45,6348,0.0,0.4666638577696123,0.0,0.0,0.0,1449,0.2,5.026240946433857,0.0,0.0,0.0,-4899,4.559577088664245
1200,1200_40,5807,0.0,0.91034748268348,0.0,0.0,0.0,942,0.2,7.309920655795634,0.0,0.0,0.0,-4865,6.399573173112154
214,214_70,4911,0.0,0.5874186763370518,0.0,0.0,0.0,81,0.4,10.499927633543757,0.0,0.0,0.0,-4830,9.912508957206706
1656,1656_37,5979,0.0,0.05319530072505694,0.0,0.0,0.0,1152,0.7,13.763574976012126,0.0,0.0,0.0,-4827,13.71037967528707
569,569_82,5754,0.0,0.4469901442341174,0.0,0.0,0.0,937,0.3,8.329006766645453,0.0,0.0,0.0,-4817,7.882016622411335
225,225_54,5023,0.0,0.9006955853850307,0.0,0.0,0.0,231,0.5,10.316901531113484,0.0,0.0,0.0,-4792,9.416205945728453
1993,1993_46,6822,0.0,0.2719000445100822,0.0,0.0,0.0,2035,0.7,11.499935971286543,0.0,0.0,0.0,-4787,11.228035926776462
426,426_59,5037,0.0,0.8524861959062984,0.0,0.0,0.0,251,0.1,6.144075289901113,0.0,0.0,0.0,-4786,5.291589093994815
339,339_72,6343,0.0,0.02002599251425181,0.0,0.0,0.0,1644,0.2,7.159072830894166,0.0,0.0,0.0,-4699,7.139046838379914
536,536_43,6281,0.0,0.10255074740532215,0.0,0.0,0.0,1583,0.1,4.127404433222732,0.0,0.0,0.0,-4698,4.024853685817409
2199,2199_75,6679,0.0,0.13026914908893383,0.0,0.0,0.0,2014,0.3,6.671371720446426,0.0,0.0,0.0,-4665,6.5411025713574915
