epoch,loss,quantization_loss,reconstruction_mse,collision_rate
1,0.007706143287941813,0.0001301192805840401,0.007641083584167064,0.1981927710843373
10,0.0061448788270354274,9.322505902673584e-05,0.006098266271874308,0.23694779116465858
20,0.005852233548648655,0.00017111573833972216,0.005766675644554198,0.13654618473895586
30,0.005659059947356581,0.00022084112642914989,0.005548639339394867,0.11767068273092374
40,0.005547097977250814,0.00031225848506437613,0.00539096868596971,0.09377510040160641
50,0.005468638380989432,0.0004170730127952993,0.005260101868771017,0.09518072289156632
60,0.005433532828465104,0.0005107147371745668,0.005178175517357886,0.10321285140562253
70,0.005334821715950966,0.0005527134344447404,0.005058465013280511,0.1030120481927711
80,0.005315354932099581,0.000610819985740818,0.005009944923222065,0.10803212851405619
90,0.0052723375149071215,0.000701114334515296,0.00492178036365658,0.10602409638554222
100,0.005229294043965637,0.0007632453402038663,0.004847671394236386,0.1124497991967871
