comparison,metric,mean_delta,ci95_low,ci95_high,n_users
DynaSID-v8 - Static-GNPR-SID,Acc@1,0.017869690420943263,-0.00446313525755439,0.04119644086614474,439
DynaSID-v8 - Static-GNPR-SID,Recall@10,0.12864432454409677,0.09511252067345462,0.16173818620003128,439
DynaSID-v8 - Static-GNPR-SID,NDCG@10,0.07524432298448398,0.05401091328515257,0.0952192719362876,439
DynaSID-v8 - Static-GNPR-SID,Infeasible@10,-0.37687549542333143,-0.3981375240647735,-0.35561270526802985,439
DynaSID-v8 - Static-GNPR-SID,MeanDist@10,-8.107524793051464,-8.52215177612866,-7.7082522827749145,439
