city,method,Acc@1,Recall@10,NDCG@10,Infeasible@10,MeanDist@10
NYC,Static-GNPR-SID,0.17458388864994787,0.4037499832488443,0.2860417425942979,0.37995313974812867,9.023478682776089
NYC,DynaSID-v8,0.1924535790708911,0.5323943077929411,0.36128606557878185,0.0030776443247969446,0.915953889724622
NYC,w/o SID history,0.19461744911631015,0.5321673391149474,0.3613569854924606,0.0021232665082323394,0.8845889201377172
NYC,w/o user recurrence,0.16071477876717058,0.4420426194913666,0.3024901388486152,0.0,0.5640275621220245
NYC,w/o recent memory,0.22343888078512222,0.4729171486574676,0.34582991663808027,0.0,0.6388794201563236
NYC,w/o POI transition,0.18970111134120246,0.5330586965552797,0.36041963691080625,0.0028974828006718663,0.9114520054223343
NYC,w/o multi-scale local,0.2128656650866218,0.41953168952029996,0.31295520342082994,0.0002668402212821347,0.4479893683282618
NYC,w/o spatial mechanisms,0.21419444261129908,0.4193038990874982,0.3136269381252298,0.00034277036554940883,0.45000726574538374
NYC,w/o safety penalty,0.2112654366640699,0.623942641767243,0.4124343090864729,0.1668740801087041,4.823282740835656
NYC,w/o stay/leave,0.1711407107192984,0.5323943077929411,0.35187340986205795,0.0030776443247969446,0.915953889724622
