method,Acc@1,Recall@10,NDCG@10,Infeasible@10,MeanDist@10
Random-ID,0.10360701055461875,0.1106305488993416,0.10715187645694084,0.49697529185570216,11.245273400900157
GNPR-SID,0.17458388864994787,0.4037499832488443,0.2860417425942979,0.37995313974812867,9.023478682776089
GNPR-SID+Spatial,0.16470209744697215,0.44022726198124834,0.30105104362715684,0.12710518916669267,3.9948154034138548
GNPR-SID+Temporal,0.17458388864994787,0.4037499832488443,0.2860417425942979,0.37995313974812867,9.023478682776089
